Word,Clue,Difficulty
CACHE,Storage for fast Web page retrieval,EASY
SNEAD,Golf legend Sam,FAIR
PLANS,Intends (to),EASY
SWIGS,"Drinks from a flask, say",EASY
ELIDE,"Skip over, as a vowel",EASY
OTHER,Neither this nor that,EASY
IVIES,"Brown, Dartmouth, etc.",EASY
ARONI,Rice-___,FAIR
TRAIL,One might be made of bread crumbs,EASY
ATSEA,Confused,FAIR
HINDI,Language of India,EASY
FILET,___-O-Fish (McDonald's sandwich),EASY
IDEAS,Outputs of brainstorming,EASY
STAND,Get ready to sing the national anthem,EASY
SLUGS,Hits with a fist,EASY
VALID,"Good, as a driver's license",EASY
DRONE,Pilotless plane,HARD
SARAN,Brand of kitchen wrap,EASY
STARR,Ringo who sang Yellow Submarine,EASY
DETER,Hinder,FAIR
CURES,Medical successes,EASY
EXAMS,Tests,EASY
ELOPE,"Have a nontraditional marriage, in a way",EASY
LEGAL,Following the law,EASY
LOFAT,"Like much diet food, informally",EASY
ZEBRA,Striped equine,EASY
DENNY,1968 A.L. M.V.P. and Cy Young winner ___ McLain,EASY
TEXAS,Lone Star State,FAIR
TAHOE,Western lake near Squaw Valley,EASY
ACHOO,Sound heard before Gesundheit!,EASY
GAFFS,Large fishing hooks,EASY
GATOR,Swamp critter,HARD
AVILA,Walled city in Spain,FAIR
SCOTT,Sir Walter who wrote Ivanhoe,EASY
INBOX,E-mail folder,EASY
TOWEL,Locker room handout,EASY
ATARI,Big name in arcade games,EASY
WROTE,Authored,EASY
AMINO,"Protein acid, for short",EASY
YEATS,Sailing to Byzantium poet,FAIR
BIBLE,Daily reading for a pope,EASY
FANTA,Orange soda brand,EASY
LEOIV,Sainted ninth-century pope,EASY
OPERA,"William Tell, for one",EASY
LOEWE,Lerner's songwriting partner,EASY
PAINE,Early American patriot Thomas,EASY
RAPID,Speedy,FAIR
COAST,Land that's not inland,EASY
CITED,Gave a speeding ticket,EASY
BLOOD,It's transfused in a transfusion,EASY
CHEAP,Way underpriced,EASY
WINES,"Roses, e.g.",EASY
PACED,Walked back and forth,EASY
BOYER,"Charles of Algiers, 1938",EASY
GRECO,Spanish artist El ___,EASY
EIGHT,Number in an octet,EASY
CAPRI,Blue Grotto's island,EASY
BASIC,Fundamental,EASY
SITAR,Indian instrument,EASY
CHOIR,Group in church robes,EASY
YOKED,"Harnessed, as oxen",EASY
EATME,Cake words in Alice in Wonderland,EASY
LEDIN,Greeted and seated,EASY
ELISE,Beethoven's Fur ___,MODERATE
FIELD,Pasture,EASY
GRUFF,Harsh and brusque,EASY
BAGEL,Breakfast order with a hole in it,EASY
MAURA,Actress Tierney of ER,FAIR
LASSO,"Catch, as a dogie",FAIR
UTAHN,Salt Lake City native,EASY
IMHOT,Can we turn on a fan or something?!,EASY
AERIE,Eaglet's nest,EASY
ABFAB,Beeb comedy,EASY
RALPH,Kramden of The Honeymooners,EASY
AROMA,Kitchen magnet?,FAIR
HOOKE,Physicist with a law,EASY
GONOW,First Moody Blues hit,EASY
TRENT,English river through Nottingham,EASY
ROMAN,Cicero or Caesar,EASY
OMAHA,Nebraska city or tribe,EASY
SCUBA,Equipment for deep diving,EASY
MITER,Kind of saw in a workshop,EASY
EVERT,Tennis great Chris,EASY
CNOTE,10 sawbucks make one,EASY
MYTHS,Yeti and the Loch Ness monster,EASY
CIVIL,Well-mannered,EASY
ARLES,French city where van Gogh painted,EASY
YACHT,"Millionaire's boat, maybe",EASY
ALTER,"Adjust, as a hem",EASY
ESSES,Double curves,FAIR
ASWAN,Dam on the Nile,EASY
HAZES,"Abuses, as a fraternity pledge",EASY
CHARD,Leafy vegetable,EASY
RAVES,Parties that might have glow-in-the-dark freebies,EASY
PHIAL,Small lab container,EASY
RANGE,"Where cowboys once sang Oh, give me a home",EASY
SIZES,"Small, medium and large",EASY
OATER,"Western, in old slang",EASY
TOPAZ,Birthstone that was the name of a Hitchcock film,EASY
CANTI,Is that a dare?,EASY
OTTER,Playful swimmer,EASY
ALECK,Smart ___ (wise guy),EASY
BUMPS,Hits in dodgem cars,EASY
GUESS,Jeans brand with a question mark in its logo,EASY
EGYPT,Sphinx site,FAIR
SMELL,Scent,EASY
DOMES,Tops of some stadiums,EASY
PRATT,Brooklyn's ___ Institute,EASY
LETGO,Release one's grip,EASY
EVENT,Occurrence,EASY
PESTO,Italian sauce,MODERATE
MECCA,Holy city of Islam,EASY
ADELE,"Rolling in the Deep singer, 2010",EASY
AANDE,Cable network specializing in real life shows,EASY
LANES,Swim meet divisions,EASY
DARWIN,On the Origin of Species author,EASY
KNOTTY,"Gnarled, as a tree trunk",EASY
NARNIA,Fantasy realm of C. S. Lewis,EASY
BUTANE,Gas in lighters,EASY
KLEPTO,"Thief, in brief",EASY
WEAKEN,Undermine,EASY
FRUGAL,Penny-pinching,EASY
ICICLE,One with a freezing point?,EASY
ESTEES,Cosmetician Lauder and others,FAIR
SHASTA,California peak,FAIR
DRILLS,Dentists' tools,FAIR
CAESAR,Roman leader who met his fate on the Ides of March,EASY
AMNIOS,OB/GYNs perform them,EASY
LENTIL,Popular soup legume,EASY
DIFFER,Be at odds (with),EASY
NESTLE,Food giant whose brands include Gerber and Goobers,EASY
IRENES,Actresses Worth and Dunne,EASY
TATERS,Spuds,EASY
SEASON,Spring or fall,EASY
SETTLE,Colonize,EASY
TABLET,"iPad, for example",EASY
EXACTA,Bet on a one-two finish,EASY
HEDGES,Natural barriers between yards,EASY
GALAXY,"Milky Way, for one",EASY
CANINE,Fanglike tooth,EASY
SNEEZY,Dwarf who's blessed a lot?,EASY
ELOPED,Ran away to wed,EASY
EDGIER,More out there,EASY
ABOARD,All ___! (conductor's cry),FAIR
MISADD,"Write 2 + 7 = 10, e.g.",EASY
ETCETC,"And so on, and so on",EASY
HANGAR,Where airplanes are repaired,EASY
CARELL,Steve of The Office,EASY
INMATE,Prisoner,EASY
LYNDON,The L of L.B.J.,EASY
LAREDO,Texas city on the Rio Grande,HARD
GRAVEL,Surface for an unpaved road,EASY
INTRAY,Place for arriving office papers,EASY
EYELID,Lashes grow from it,EASY
ENHALO,Surround with a saintly light,EASY
PRAISE,Kudos,EASY
EVILER,More fiendish,EASY
RAMJET,Kind of engine for an airplane,EASY
SUTURE,"Sew up, as a wound",EASY
MISLED,Deceived,EASY
SAIDHI,Greeted informally,EASY
EGOISM,Cause of I strain?,EASY
ROAMED,Roved,EASY
MOSHER,One in a pit at a concert,EASY
IMEASY,Whatever you want,EASY
ODDSON,"Most likely to win, as a favorite",EASY
TRYONE,Sign on a tray of samples,EASY
ICEDUP,"Became a winter hazard, as a road",EASY
SNEEZE,Eruption that might elicit a blessing,EASY
STRIVE,Vie (for),EASY
UNREEL,"Let out, as a fishing line",EASY
TEDIUM,Ho-humness,EASY
ERRANT,Straying,HARD
EMERIL,Lagasse in the kitchen,EASY
VERDUN,W.W. I's longest battle,EASY
ITALIA,Roma is its capital,EASY
STINKS,Smells to high heaven,EASY
RAILED,Complained loudly,EASY
FLORAL,Bouquet-related,EASY
CANADA,Where Hudson Bay is,EASY
DATERS,Some office stamps,EASY
INEVER,Words often declared after Well,EASY
OGLING,Eyeing amorously,EASY
ANTHEM,Song that people stand to sing,EASY
TUBULE,Tiny hollow cylinder,EASY
MATTER,Make a difference,FAIR
KISSME,Instruction to Kate in a Cole Porter musical,EASY
DULLED,Made less sharp,EASY
TSHIRT,Jeans topper,EASY
MOURNS,Grieves for,EASY
TERESA,Mother ___ of Calcutta,EASY
SMITHY,Horseshoe forger,EASY
SPRITZ,Perfume application,EASY
HEARYE,"When repeated, a crier's cry",EASY
NATURE,Word after force of or freak of,EASY
URGING,Encouragement,EASY
STRIPE,Feature on a skunk's back,EASY
PARLOR,Place for pizza or ice cream,EASY
NIECES,Aunts' little girls,EASY
OOLALA,So fancy!,EASY
NEEDLE,Compass pointer,EASY
MATZOH,Bread eaten during Passover,EASY
EMPIRE,Order of the British ___,EASY
NOMAAM,Polite refusal to a lady,EASY
LOCKET,"Heart-shaped item on a chain, say",EASY
IRVING,Songwriter Berlin,EASY
DCAREA,Where many fed. employees live,EASY
TEEPEE,Cone-shaped shelter,EASY
SUMMON,Order to come,EASY
RIDERS,Passengers,EASY
EQUATE,Consider the same,EASY
JESTER,Court clown,EASY
ESKIMO,Igloo builder,EASY
AFRICA,Zimbabwe's continent,EASY
ARTIST,Easel user,EASY
SASSED,Talked back to,EASY
APPLES,Golden Delicious and others,FAIR
CAVERN,Carlsbad feature,EASY
ENTERS,Opposite of exits,EASY
LILIES,Easter blooms,EASY
SEABED,Bottom of the ocean,EASY
BOBBIN,Certain spool,EASY
TICTAC,Something always sold in mint condition?,EASY
SENSEI,Karate teacher,FAIR
BARTER,Trade,EASY
BALLER,One playing hoops,EASY
GRILLE,Cover on the front of a car,EASY
ODESSA,Ukrainian port whose staircase is a setting for The Battleship Potemkin,EASY
WAUSAU,Onetime Wisconsin-based insurance giant,EASY
ADRIFT,Directionless at sea,EASY
HUEVOS,Spanish eggs,EASY
MESHES,"Fits with another, as a gear tooth",EASY
PRICED,Having a store tag,EASY
ERRORS,Goofs,EASY
MOHAVE,Southwest desert that includes Death Valley,EASY
TOOBAD,Response of sympathy,EASY
AUTEUR,Filmmaker with style and total control,EASY
STROLL,Leisurely walk,EASY
YOYOMA,Chinese-American virtuoso cellist,EASY
ENTITY,Thing,DIFFICULT
AMOEBA,Microscopic blob,EASY
AGATES,Some marbles,EASY
DENIES,Refuses to acknowledge,EASY
CLINIC,Mini-hospital,EASY
OXIDES,Rust and lime,EASY
UNLOCK,Open with a key,EASY
OCASEY,Sean who wrote Juno and the Paycock,EASY
STRODE,Walked purposefully,DIFFICULT
OGRESS,"Fiona, e.g., in Shrek",EASY
APACHE,Geronimo's tribe,EASY
LIONEL,Big name in toy trains,EASY
DOLLAR,Avis rival,EASY
ZSAZSA,One of the Gabor sisters,EASY
SMELLY,Like gym socks,EASY
SHERPA,Mount Everest guide,EASY
IMPALA,African antelope or Chevrolet,EASY
KANSAS,Nebraska neighbor,EASY
UNREAL,Fictitious,EASY
CONJOB,Scam,EASY
RAVING,Stark ___ mad,EASY
ISLETS,Archipelago bits,EASY
THOMAS,Cartoonist Nast,EASY
SAINTE,"Jeanne d'Arc, e.g.",FAIR
GUERRE,C'est la ___,EASY
SESAME,Seed on many a bun,EASY
DREAMY,"Like an idol for a teen girl, say",EASY
SECANT,Trigonometric ratio,EASY
AMORES,Ovid's book of love poetry,EASY
ENCODE,Put in a secret language,EASY
AVATAR,2009 film that grossed over two billion dollars,EASY
FLOPPY,Kind of disk,EASY
SETSUP,Erects,EASY
DOTELL,Is that so?!,MODERATE
EAGLES,Philadelphia gridders,EASY
ONEWAY,Like a street with an arrow sign,EASY
BEWARE,Watch out!,EASY
SORTIE,Foray,EASY
LACKED,Was without,EASY
STODGY,Hardly hip,EASY
ACCEPT,Say yes to,EASY
HUBBLE,Telescope serviced by astronauts,EASY
REVAMP,Change significantly,EASY
EASEIN,"Enter slowly and carefully, as a parking spot",EASY
ACTIII,Middle part of a Shakespearean play,EASY
MANILA,Capital of the Philippines,EASY
BATMAN,Comics debut of 1939,EASY
ICEAGE,Big freeze,EASY
STAIRS,Flight between floors,EASY
DULCET,Melodious,EASY
ELIDES,"Says o'er for over, e.g.",EASY
ORACLE,Future revealer,EASY
SINNER,Visitor to a confessional,EASY
HOTTIE,Good-looker,EASY
LONDON,"2012 Olympics locale, with a hint to the ends of the answers to the six starred clues",EASY
SEPTET,Two trios plus one,EASY
WAISTS,What belts wrap around,EASY
APATHY,Lack of interest,EASY
DIONNE,Walk On By singer Warwick,EASY
ENCORE,Again! Again!,EASY
TASSEL,Graduation cap attachment,EASY
SOIREE,Evening event,HARD
GODEAD,"Stop working, as a car battery",EASY
ASCOTS,Broad ties,MODERATE
SUPERB,A-one,EASY
ELLIOT,Broadway's Billy ___,EASY
SOARED,Flew to great heights,EASY
GERMAN,Official language of Austria,EASY
READTO,"Entertain, as children at a library",EASY
EEYORE,Donkey in Winnie-the-Pooh,EASY
LASERS,Surgical beams,EASY
WOLFED,"Devoured, with down",EASY
EFFETE,Tired or decadent,EASY
TARRED,Smeared with pitch,EASY
TACTIC,Ploy,EASY
INASEC,Very soon,MODERATE
MIMOSA,Brunch cocktail,FAIR
DEFEAT,Loss,EASY
SALTED,Like many potato chips and peanuts,EASY
RATTLY,Sounding like a jalopy,EASY
LONELY,Feeling friendless,EASY
EROTIC,XXX-rated,EASY
ANIMAL,Zebra or zebu,EASY
MORALE,Esprit de corps,MODERATE
SAFARI,African hunt,EASY
AARONS,___ rod (molding with a twined serpent design),EASY
SYNODS,Religious councils,EASY
SCALES,Libra's symbol,EASY
SYSTEM,The S in CBS,EASY
ARGYLE,Diamond-shaped pattern,EASY
HORNET,Certain wasp,EASY
ADAGES,Old saws,EASY
CASINO,Vegas attraction,EASY
NAUGHT,Nothing,EASY
AGATHA,Christie who wrote Ten Little Indians,EASY
OSPREY,Fish hawk,DIFFICULT
STOOGES,"Moe, Larry and Curly",EASY
GOOSING,Prodding into action,EASY
TACTILE,Perceptible by touch,EASY
ONEADAY,Big name in multivitamins,EASY
WRITTEN,Not oral,EASY
MASTERY,Expertise,EASY
OMNIBUS,Compilation book,EASY
EMPEROR,Tiberius or Charlemagne,EASY
LANTANA,Flowering shrub common in the South,EASY
SNEERED,Laughed contemptuously,EASY
MIRACLE,Backup singer for Smokey Robinson,EASY
KARAOKE,Sing-along at a bar,EASY
WADEDIN,Entered up to one's ankles,EASY
TABASCO,___ sauce,EASY
MINICAM,Easily portable movie maker,EASY
LOAFERS,Casual shoes,EASY
BADHAIR,"Kind of day, grooming-wise",EASY
STARTIN,Get to work (on),EASY
CAESARS,___ Palace (Vegas venue),EASY
SLOVENE,Ljubljana dweller,EASY
SEEPAST,Purposely ignore,EASY
THEWIRE,Hit HBO series set in Baltimore,EASY
CARRYME,Request from a tired child,EASY
ATISSUE,Up for discussion,EASY
NONUKES,Peacenik's mantra,EASY
TOMTOMS,Native American drums,EASY
KIMONOS,Japanese robes,EASY
SLEEVES,What tank tops lack,EASY
NIRVANA,State of bliss,EASY
ATEDIRT,Suffered an embarrassing defeat,EASY
ARRANGE,"Group artistically, as flowers",EASY
CARAVAN,Desert procession,EASY
LATVIAN,From one of the Baltics,EASY
VANILLA,Alternative to chocolate,EASY
RECITAL,Musical performance,EASY
ECONOMY,"Low-cost, as an airplane seat",EASY
ARTDECO,1920s-'30s design style,EASY
HAVANAN,Native of Cuba's capital,EASY
EASYWIN,Lopsided victory,EASY
SPYRING,Band of secret agents,EASY
INDYCAR,Big series name in auto racing,EASY
RECRUIT,Army enlistee,EASY
SUBLIME,Glorious,EASY
TSELIOT,Cats poet,EASY
CAPSIZE,Flip over,EASY
SITCOMS,2 Broke Girls and 30 Rock,EASY
BEDBUGS,Mattress invaders,EASY
GOODEGG,Amiable sort,EASY
TESTEES,Exam takers,EASY
PITEOUS,Pathetic,EASY
BURRITO,Folded Mexican dish,EASY
SILICON,Element used to make semiconductors,HARD
PITAPAT,Sound of an excited heart,EASY
IRONORE,Raw material for a steel mill,EASY
PASTDUE,"Late, as a library book",EASY
HYPHENS,- marks,EASY
DEFICIT,Surplus's opposite,EASY
MENTION,"Bring up, as a subject",EASY
TANKING,Ruler on a beach?,EASY
PRESENT,Something brought to a birthday party,EASY
EDGEOUT,"Just beat, as in a competition",EASY
RUGRATS,Little 'uns,EASY
CODEINE,Opiate often used in cough syrup,EASY
ONECENT,Words below the Lincoln Memorial,EASY
ETCHERS,"Crystal trophy inscribers, e.g.",EASY
PREEMPT,Forestall by acting first,EASY
ONSTAGE,"Performing in a play, say",EASY
SLIMJIM,Beef jerky brand,EASY
RONZONI,Packaged pasta brand,EASY
RAYBANS,Some stylish sunglasses,EASY
GRANITE,Rock associated with hardness,EASY
EXURBAN,Beyond the metro area,EASY
TRIBORO,___ Bridge (former name of New York's R.F.K. Bridge),EASY
EMOTION,Love or rage,EASY
BOOTIES,Wee 'un's footwear,EASY
UPTEMPO,"Lively, in music",EASY
THEROAD,"In phrases, something to share or hit",EASY
PETNAME,Honeybunch or snookums,EASY
HEYJUDE,1968 song with the lyric Remember to let her into your heart,EASY
BOOBOOS,Slip-ups,EASY
OCEANIA,South Pacific region,EASY
LETITBE,1970 song with the lyric Whisper words of wisdom,EASY
THEHULK,One of filmdom's Avengers,EASY
MALTEDS,Fountain treats,EASY
UNAWARE,Paying no attention,EASY
FATIGUE,Tiredness,EASY
BIGNAME,Headliner,EASY
EARFLAP,One of two on a winter cap,EASY
AMNESTY,Forgiveness,EASY
RESEALS,Closes tightly again,EASY
INVITEE,Private party attender,EASY
UTENSIL,Fork or spoon,EASY
MISSYOU,1978 Rolling Stones hit,EASY
REDCELL,Blood component that contains hemoglobin,EASY
CALORIE,___ counter (dieter),EASY
TOOFAST,Over the speed limit,EASY
GETOVER,Recover from,EASY
FASTENS,"Buckles, as a seat belt",EASY
ACOLYTE,Devoted follower,EASY
CASHIER,Store clerk,EASY
DOILIES,Frilly place mats,EASY
HIBACHI,Japanese grill,EASY
PARASOL,Light umbrella,EASY
ENZYMES,Digestion aids,EASY
REVERIE,Daydream,EASY
TREMOLO,Vibrating effect,MODERATE
STRANDS,Leaves high and dry,EASY
ELMTREE,Target for a certain bark beetle,EASY
CLEAVER,Butcher's knife,EASY
ANOMALY,Deviation from the standard,EASY
BOBSLED,Winter Olympics vehicle,EASY
ACCEPTS,Opposite of rejects,EASY
MEGATON,Atomic bomb unit,EASY
SEABEDS,Ocean bottoms,EASY
ALIASES,Names like Billy the Kid,EASY
SOYBEAN,Small source of protein,EASY
SANJOSE,City that a song asks Do you know the way to ...?,EASY
SHIPOUT,Alternative to shape up,EASY
SAMEDAY,Expeditious type of delivery,EASY
WHATSUP,Anything going on?,EASY
OUTMODE,Make obsolete,EASY
AVIATES,Flies,EASY
SUPPOSE,Presume,EASY
UNTIMED,Not checked for speed,EASY
PETUNIA,Porky's porcine sweetie,EASY
NOMINEE,Choice of a political party,EASY
ABSENCE,Failure to appear,EASY
AMMONIA,Strong-smelling cleaner,EASY
CELTICS,Boston N.B.A. team,EASY
TIEGAME,"Reason for a 10th inning, say",EASY
DEMEANS,Denigrates,EASY
TWELFTH,"Like December, among the months of the year",EASY
PHOENIX,Capital of Arizona,EASY
NUTTREE,"Cashew or hazel, in a grove",EASY
GLOATED,Was a bad winner,EASY
PASSION,Boundless enthusiasm,EASY
ATSTAKE,Being risked,EASY
ARTICLE,One of seven in the Constitution,EASY
BEDROOM,Place to sleep,EASY
CATSCAN,Hospital diagnostic,EASY
